fn,fnum,objname,filter,trimsec,biassec,fn_otzdf
../Imaging/a215.fits,215,M101,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a215_otzdf.fits
../Imaging/a216.fits,216,M101,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a216_otzdf.fits
../Imaging/a217.fits,217,M101,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a217_otzdf.fits
../Imaging/a218.fits,218,M101,B,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a218_otzdf.fits
../Imaging/a219.fits,219,M101,B,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a219_otzdf.fits
../Imaging/a220.fits,220,M101,B,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a220_otzdf.fits
../Imaging/a237.fits,237,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a237_otzdf.fits
../Imaging/a238.fits,238,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a238_otzdf.fits
../Imaging/a239.fits,239,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a239_otzdf.fits
../Imaging/a240.fits,240,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a240_otzdf.fits
../Imaging/a241.fits,241,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a241_otzdf.fits
../Imaging/a242.fits,242,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a242_otzdf.fits
../Imaging/a243.fits,243,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a243_otzdf.fits
../Imaging/a244.fits,244,PG1633+099,R,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a244_otzdf.fits
../Imaging/a245.fits,245,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a245_otzdf.fits
../Imaging/a246.fits,246,PG1633+099,I,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a246_otzdf.fits
