fn,fnum,objname,filter,trimsec,biassec,fn_otzdf
../Imaging/a050.fits,50,FLAT,R,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a050_otzdf.fits
../Imaging/a051.fits,51,FLAT,R,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a051_otzdf.fits
../Imaging/a052.fits,52,FLAT,R,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a052_otzdf.fits
../Imaging/a053.fits,53,FLAT,R,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a053_otzdf.fits
../Imaging/a054.fits,54,FLAT,R,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a054_otzdf.fits
../Imaging/a055.fits,55,FLAT,R,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a055_otzdf.fits
../Imaging/a056.fits,56,FLAT,I,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a056_otzdf.fits
../Imaging/a057.fits,57,FLAT,I,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a057_otzdf.fits
../Imaging/a058.fits,58,FLAT,I,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a058_otzdf.fits
../Imaging/a059.fits,59,FLAT,I,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a059_otzdf.fits
../Imaging/a060.fits,60,FLAT,I,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a060_otzdf.fits
../Imaging/a061.fits,61,FLAT,I,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a061_otzdf.fits
../Imaging/a062.fits,62,FLAT,I,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a062_otzdf.fits
../Imaging/a063.fits,63,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a063_otzdf.fits
../Imaging/a064.fits,64,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a064_otzdf.fits
../Imaging/a065.fits,65,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a065_otzdf.fits
../Imaging/a066.fits,66,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a066_otzdf.fits
../Imaging/a067.fits,67,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a067_otzdf.fits
../Imaging/a068.fits,68,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a068_otzdf.fits
../Imaging/a069.fits,69,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a069_otzdf.fits
../Imaging/a070.fits,70,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a070_otzdf.fits
../Imaging/a071.fits,71,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a071_otzdf.fits
../Imaging/a072.fits,72,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a072_otzdf.fits
../Imaging/a073.fits,73,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a073_otzdf.fits
../Imaging/a074.fits,74,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a074_otzdf.fits
../Imaging/a075.fits,75,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a075_otzdf.fits
../Imaging/a076.fits,76,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a076_otzdf.fits
../Imaging/a077.fits,77,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a077_otzdf.fits
../Imaging/a078.fits,78,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a078_otzdf.fits
../Imaging/a079.fits,79,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a079_otzdf.fits
../Imaging/a080.fits,80,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a080_otzdf.fits
../Imaging/a081.fits,81,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a081_otzdf.fits
../Imaging/a082.fits,82,PG1633+099,U,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a082_otzdf.fits
../Imaging/a083.fits,83,PG1633+099,B,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a083_otzdf.fits
../Imaging/a084.fits,84,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a084_otzdf.fits
../Imaging/a085.fits,85,PG1633+099,V,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a085_otzdf.fits
